quote_id,healthcare_index,sent_mean,healthcare_index_mean
81,48.45,0.038279,48.45
82,"71.7, 69.1",0.237245,70.4
83,73.1,0.026101,73.1
84,71.9,0.094695,71.9
85,"66.0842105263158, 70.2",0.240881,68.1421052631579
86,69.1,0.009625,69.1
87,77.8,-0.204998,77.8
88,"77.2, 60.8, 61.4",0.303359,66.46666666666667
89,66.0842105263158,0.240416,66.0842105263158
90,57.2,-0.11634,57.2
91,73.2,0.20085,73.2
92,73.2,0.20085,73.2
93,67.1,-0.043252,67.1
94,68.3,-0.108925,68.3
95,77.2,0.049439,77.2
96,"73.2, 77.7, 65.3",0.248107,72.06666666666666
97,"56.3, 68",0.057087,62.15
98,79.7,0.106269,79.7
99,73.1,0.026101,73.1
100,56.25,0.104983,56.25
101,77.2,0.049439,77.2
102,48.45,0.038279,48.45
103,"73.2, 77.8, 78.5, 68.3, 76",0.0966493150684931,74.76
104,69.1,0.009625,69.1
105,"65.0763157894737, 73.2, 71.1, 77.2, 46.5, 60.8, 79.7, 47.5, 61.4, 65.4",-0.021408,64.78763157894737
106,79.7,0.106269,79.7
107,64.0191489361702,0.080324,64.0191489361702
108,73.2,0.20085,73.2
109,77.8,-0.204998,77.8
110,59,0.038123,59
111,55.56,0.193682,55.56
112,73.1,0.026101,73.1
113,"65.3, 77.8, 77.7",0.041527,73.6
114,68,0.288284,68
115,"71.9, 77.2",0.269077,74.55000000000001
116,77.8,-0.204998,77.8
117,60.8,0.005872,60.8
118,68.6,0.113228,68.6
119,60.8,0.005872,60.8
120,66.0842105263158,0.240416,66.0842105263158
121,60.8,0.005872,60.8
122,"83, 73.2, 86.4",0.162413333333333,80.86666666666667
123,73.2,0.347237,73.2
124,77.7,0.158627,77.7
125,68.6,0.113228,68.6
126,61.4,0.11136,61.4
127,"68, 72.4",-5.06e-4,70.2
128,66.0842105263158,0.240416,66.0842105263158
129,"71.9, 73.2, 77.2, 65.3, 77.8",0.320003174603175,73.08
130,60.8,0.005872,60.8
131,60.8,0.005872,60.8
132,"65.0763157894737, 79.3, 72, 77.8",0.098484,73.54407894736842
133,60.8,0.005872,60.8
134,60.8,0.005872,60.8
135,60.8,0.005872,60.8
136,60.8,0.005872,60.8
137,73.2,0.20085,73.2
138,"51.56, 61.4",0.05242,56.480000000000004
139,68,0.288284,68
140,"77.7, 72.5, 46.5",0.110989,65.56666666666666
141,77.2,0.049439,77.2
142,79.7,0.106269,79.7
143,73.1,0.026101,73.1
144,79.7,0.106269,79.7
145,"73.1, 68.6",0.068949,70.85
146,60.8,0.005872,60.8
147,65.0763157894737,0.01022,65.0763157894737
148,60.8,0.005872,60.8
149,65.0763157894737,0.01022,65.0763157894737
150,60.8,0.005872,60.8
151,73.1,0.026101,73.1
152,"70.2, 77.2",0.146639,73.7
153,68.6,0.113228,68.6
154,68,0.288284,68
155,"71.9, 70.2",0.095193,71.05000000000001
156,"66.53, 79.7, 83",0.15703,76.41
157,60.8,0.005872,60.8
158,"71.1, 65, 65.0763157894737, 61.1",-0.0553720588235294,65.56907894736842
159,63.8,0.08694,63.8
160,48.45,0.038279,48.45
161,70.4,0.478005,70.4
162,60.8,0.005872,60.8
163,72,-0.032063,72
164,67.1,-0.043252,67.1
165,69.1,0.009625,69.1
166,73.2,0.20085,73.2
167,"60.8, 65.4, 77.2",0.271132,67.8
168,61.4,0.11136,61.4
169,60.8,0.005872,60.8
170,57.7,-0.150721,57.7
171,"65.3, 77.8, 73.2",0.215561,72.1
172,68.6,0.113228,68.6
173,"65.0763157894737, 66.0842105263158",0.123783,65.58026315789475
174,72,-0.032063,72
175,77.2,0.049439,77.2
176,"73.2, 77.8",0.10824,75.5
177,"64.12, 66.53, 67.1",0.136486734693878,65.91666666666667
178,60.8,0.005872,60.8
179,60.8,0.005872,60.8
180,73.1,0.026101,73.1
181,"65.3, 73.2, 77.8, 79.3, 46.5, 77.7",0.11686,69.96666666666667
182,61.4,0.11136,61.4
183,65.0763157894737,0.01022,65.0763157894737
184,77.2,0.049439,77.2
185,77.2,0.049439,77.2
186,60.8,0.005872,60.8
187,71,0.072533,71
188,60.8,0.005872,60.8
189,68,0.288284,68
190,60.8,0.005872,60.8
191,"68, 73.2",0.173249,70.6
192,48.45,0.038279,48.45
193,73.1,0.026101,73.1
194,"61.4, 66.53",0.107871,63.965
195,73.2,0.20085,73.2
196,68,0.288284,68
197,60.8,0.005872,60.8
198,"69.1, 68",0.024029,68.55
199,77.2,0.049439,77.2
200,68.6,0.113228,68.6
201,"71.9, 70.2",0.095193,71.05000000000001
202,77.2,0.049439,77.2
203,60.8,0.005872,60.8
204,23.86,0.233491,23.86
205,60.8,0.005872,60.8
206,71.1,0.160342,71.1
207,"70.2, 66.53",0.229482,68.36500000000001
208,"77.2, 65.4",0.057652,71.30000000000001
209,46.5,0.18831,46.5
210,73.1,0.026101,73.1
211,64.12,0.197647,64.12
212,65.0763157894737,0.01022,65.0763157894737
213,"71.9, 73.2, 78.5, 72",0.242921739130435,73.9
214,68.6,0.113228,68.6
215,60.8,0.005872,60.8
216,60.8,0.005872,60.8
217,69.1,0.009625,69.1
218,48.45,0.038279,48.45
219,77.2,0.049439,77.2
220,40.51,0.211499,40.51
221,60.8,0.005872,60.8
222,"68.3, 76, 77.5, 73.4",0.248301694915254,73.8
223,77.8,-0.204998,77.8
224,60.8,0.005872,60.8
225,79.7,0.106269,79.7
226,68.6,0.113228,68.6
227,"65.3, 77.7",0.035471,71.5
228,68.3,-0.108925,68.3
229,73.2,0.20085,73.2
230,65.0763157894737,0.01022,65.0763157894737
231,66.0842105263158,0.240416,66.0842105263158
232,60.8,0.005872,60.8
233,60.8,0.005872,60.8
234,57.6,0.04147,57.6
235,66.53,-0.12034347826087,66.53
236,"79.7, 86.4",0.08227,83.05000000000001
237,68.3,-0.108925,68.3
238,69.1,0.009625,69.1
239,60.8,0.005872,60.8
240,60.8,0.005872,60.8
241,"70.2, 60.8, 77.2, 59.1",0.144894915254237,66.825
242,79.7,0.106269,79.7
243,68,0.288284,68
244,"73.2, 68, 69.1",0.024482,70.1
245,73.1,0.026101,73.1
246,"72, 54, 77.2, 79.3",0.100748717948718,70.625
247,73.1,0.026101,73.1
248,60.8,0.005872,60.8
249,"77.2, 71.9",0.250265,74.55000000000001
250,"66.53, 68.3",0.073759,67.41499999999999
251,65.0763157894737,0.01022,65.0763157894737
252,60.8,0.005872,60.8
253,65.0763157894737,0.01022,65.0763157894737
254,68,0.288284,68
255,73.1,0.026101,73.1
256,73.1,0.026101,73.1
257,"83, 71.9",0.144261,77.45
258,67.1,-0.043252,67.1
259,68,0.288284,68
260,73.2,0.20085,73.2
261,"79.7, 70.2, 68.3",0.288015,72.73333333333333
262,60.8,0.005872,60.8
263,"60.8, 71.9, 68",0.0673077777777778,66.9
264,"65.0763157894737, 72.4, 68.2, 67.3, 61.21",-0.0584862068965517,66.83726315789474
265,"51.3, 73.2, 86.4, 67.7",0.215897368421053,69.65
266,"71.9, 77.2",0.269077,74.55000000000001
267,68.6,0.113228,68.6
268,68,0.288284,68
269,65.0763157894737,0.01022,65.0763157894737
270,"79.7, 83",0.21883,81.35
271,77.5,0.16386,77.5
272,69.1,0.009625,69.1
273,73.1,0.026101,73.1
274,67.1,-0.043252,67.1
275,56.25,0.104983,56.25
276,"65.0763157894737, 71.9",0.213616,68.48815789473684
277,73.1,0.026101,73.1
278,"68, 69.1",0.010203,68.55
279,68.6,0.113228,68.6
280,65.0763157894737,0.01022,65.0763157894737
281,60.8,0.005872,60.8
282,"50, 56.3, 63.3, 59, 68.1",0.08349375,59.339999999999996
283,65.0763157894737,0.01022,65.0763157894737
284,"60.8, 77.2",0.302021,69
285,65.0763157894737,0.01022,65.0763157894737
286,79.7,0.106269,79.7
287,"61.4, 77.2",0.158716,69.3
288,79.7,0.106269,79.7
289,68.6,0.113228,68.6
290,60.8,0.005872,60.8
291,61.4,0.11136,61.4
292,65.0763157894737,0.01022,65.0763157894737
293,60.8,0.005872,60.8
294,77.2,0.049439,77.2
295,"79.7, 83",0.21883,81.35
296,"71.9, 77.2, 61.4, 70.2",0.239319230769231,70.175
297,79.7,0.106269,79.7
298,77.2,0.049439,77.2
299,72,-0.032063,72
300,"73.1, 65.0763157894737, 77.2",0.152816901408451,71.7921052631579
301,73.1,0.026101,73.1
302,73.1,0.026101,73.1
303,48.45,0.038279,48.45
304,"73.2, 65.3, 65, 51.9",0.212076271186441,63.85
305,48.45,0.038279,48.45
306,68,0.288284,68
307,65.0763157894737,0.01022,65.0763157894737
308,"77.2, 79.7",0.148328,78.45
309,60.8,0.005872,60.8
310,73.1,0.026101,73.1
311,65.4,0.023996,65.4
312,73.2,0.20085,73.2
313,60.8,0.005872,60.8
314,79.7,0.106269,79.7
315,79.7,0.106269,79.7
316,73.1,0.026101,73.1
317,79.7,0.106269,79.7
318,48.45,0.038279,48.45
319,"77.2, 34.44, 48.39, 86.4, 66.53, 79.7, 68.3, 83",0.193110526315789,67.995
320,"66.53, 79.7",0.035969,73.11500000000001
321,"61.4, 51.56, 77.2",-0.040372,63.38666666666667
322,65.0763157894737,0.01022,65.0763157894737
323,73.1,0.026101,73.1
324,"77.2, 65.3, 73.2",0.12249375,71.9
325,79.7,0.106269,79.7
326,"65.0763157894737, 79.7",0.135554,72.38815789473685
327,68.6,0.113228,68.6
328,68.6,0.113228,68.6
329,66.0842105263158,0.240416,66.0842105263158
330,"62.8125, 50",-0.089627,56.40625
331,69.1,0.009625,69.1
332,69.1,0.009625,69.1
333,68,0.288284,68
334,77.8,-0.204998,77.8
335,"72, 77.2",0.108277,74.6
336,77.2,0.049439,77.2
337,71,0.072533,71
338,79.7,0.106269,79.7
339,73.1,0.026101,73.1
340,73.1,0.026101,73.1
341,68.6,0.113228,68.6
342,"65.0763157894737, 60.8",0.299652,62.93815789473685
343,61.4,0.11136,61.4
344,72.4,0.120209,72.4
345,71.88,0.131277,71.88
346,67.1,-0.043252,67.1
347,60.8,0.005872,60.8
348,77.2,0.049439,77.2
349,65.0763157894737,0.01022,65.0763157894737
350,79.7,0.106269,79.7
351,68,0.288284,68
352,79.7,0.106269,79.7
353,"60.8, 65.4, 77.2",0.271132,67.8
354,73.1,0.026101,73.1
355,68,0.288284,68
356,61.4,0.11136,61.4
357,70.2,0.148847,70.2
358,66.0842105263158,0.240416,66.0842105263158
359,"64.12, 73.1",0.255908,68.61
360,61.4,0.11136,61.4
361,60.8,0.005872,60.8
362,"77.7, 65.3, 73.2",0.231053,72.06666666666666
363,79.7,0.106269,79.7
364,48.45,0.038279,48.45
365,"77.2, 61.4",0.146978,69.3
366,"65.0763157894737, 68, 57.6",0.141314,63.558771929824566
367,71,0.072533,71
368,65.0763157894737,0.01022,65.0763157894737
369,68.6,0.113228,68.6
370,68.6,0.113228,68.6
371,71.9,0.094695,71.9
372,70.4,0.478005,70.4
373,79.7,0.106269,79.7
374,73.1,0.026101,73.1
375,60.8,0.005872,60.8
376,69.1,0.009625,69.1
377,68,0.288284,68
378,79.7,0.106269,79.7
379,65.0763157894737,0.01022,65.0763157894737
380,"73.2, 70.4, 77.8",0.0247705128205128,73.8
381,73.1,0.026101,73.1
382,68,0.288284,68
383,"73.2, 77.8, 68.3, 77.5",0.0761287671232877,74.2
384,73.1,0.026101,73.1
385,60.8,0.005872,60.8
386,60.8,0.005872,60.8
387,79.7,0.106269,79.7
388,68.6,0.113228,68.6
389,79.7,0.106269,79.7
390,"68, 68.2",-0.393379,68.1
391,79.7,0.106269,79.7
392,66.0842105263158,0.240416,66.0842105263158
393,"65.0763157894737, 62.8125",0.104668,63.94440789473685
394,68,0.288284,68
395,83,-0.042243,83
396,60.8,0.005872,60.8
397,73.1,0.026101,73.1
398,60.8,0.005872,60.8
399,60.8,0.005872,60.8
400,68.3,-0.108925,68.3
401,77.7,0.158627,77.7
402,73.2,0.20085,73.2
403,"72, 73.2, 71.9, 70.2, 77.2, 54",0.156222535211268,69.75
404,65.0763157894737,0.01022,65.0763157894737
405,67.1,-0.043252,67.1
406,68,0.288284,68
407,79.7,0.106269,79.7
408,73.2,0.20085,73.2
409,68.6,0.113228,68.6
410,48.45,0.038279,48.45
411,79.7,0.106269,79.7
412,"79.7, 67.1, 83",0.262144,76.6
413,48.45,0.038279,48.45
414,73.1,0.026101,73.1
415,73.1,0.026101,73.1
416,69.1,0.009625,69.1
417,71.1,0.160342,71.1
418,73.2,0.20085,73.2
419,51.56,-0.306933,51.56
420,64.12,0.197647,64.12
421,65.07,0.054993,65.07
422,68.6,0.113228,68.6
423,61.4,0.11136,61.4
424,66.0842105263158,0.240416,66.0842105263158
425,60.8,0.005872,60.8
426,48.45,0.038279,48.45
427,73.1,0.026101,73.1
428,60.8,0.005872,60.8
429,79.7,0.106269,79.7
430,48.45,0.038279,48.45
431,68.6,0.113228,68.6
432,70.2,0.148847,70.2
433,69.1,0.009625,69.1
434,"68, 72.4, 68.1",0.215447,69.5
435,"68.6, 77.2, 77.8",0.183532911392405,74.53333333333333
436,61.4,0.11136,61.4
437,65.0763157894737,0.01022,65.0763157894737
438,"68, 69.1",0.010203,68.55
439,73.1,0.026101,73.1
440,68.6,0.113228,68.6
441,"70.2, 63.8",0.158074,67
442,77.2,0.049439,77.2
443,"46.5, 72.5",0.03544,59.5
444,68.3,-0.108925,68.3
445,45.94,0.241263,45.94
446,68.6,0.113228,68.6
447,68.6,0.113228,68.6
448,79.7,0.106269,79.7
449,51.56,-0.306933,51.56
450,"71.9, 73.1",0.226097,72.5
451,48.45,0.038279,48.45
452,"71.7, 65.3, 77.2, 70.4",0.277903225806452,71.15
453,60.8,0.005872,60.8
454,64.12,0.197647,64.12
455,68.2,-0.352223,68.2
456,"73.2, 78.5, 77.8, 79.3",0.156765753424658,77.2
457,"45.94, 71.9",-0.0106322580645161,58.92
458,60.8,0.005872,60.8
459,68.3,-0.108925,68.3
460,"63.3, 68.2",0.026383,65.75
461,77.2,0.049439,77.2
462,72.5,0.053847,72.5
463,77.2,0.049439,77.2
464,79.7,0.106269,79.7
465,79.7,0.106269,79.7
466,79.7,0.106269,79.7
467,73.1,0.026101,73.1
468,73.1,0.026101,73.1
469,67.1,-0.043252,67.1
470,71.9,0.094695,71.9
471,73.1,0.026101,73.1
472,68.6,0.113228,68.6
473,"72.5, 77.7, 77.8, 51.9",0.0516910714285714,69.975
474,68,0.288284,68
475,77.2,0.049439,77.2
476,69.1,0.009625,69.1
477,69.1,0.009625,69.1
478,23.86,0.233491,23.86
479,"40.51, 61.11",0.0897323943661972,50.81
480,68,0.288284,68
481,65.4,0.023996,65.4
482,79.7,0.106269,79.7
483,"61.11, 40.51",0.0994430379746835,50.81
484,60.8,0.005872,60.8
485,79.7,0.106269,79.7
486,68,0.288284,68
487,"65.3, 70.2, 71.9",0.271965277777778,69.13333333333334
488,68.6,0.113228,68.6
489,60.8,0.005872,60.8
490,79.7,0.106269,79.7
491,"61.1, 55.6, 71.1, 65",0.185222222222222,63.2
492,60.8,0.005872,60.8
493,73.2,0.20085,73.2
494,"68, 69.1, 67.7",0.134638961038961,68.26666666666667
495,"73.2, 65.0763157894737, 46.5",0.184214473684211,61.5921052631579
496,77.7,0.158627,77.7
497,"69.1, 68",0.024029,68.55
498,68.6,0.113228,68.6
499,"77.8, 71.7, 72, 72.5",0.106520408163265,73.5
500,68.3,-0.108925,68.3
501,60.8,0.005872,60.8
502,77.2,0.049439,77.2
503,60.8,0.005872,60.8
504,"71.1, 47.5, 65",0.00174487179487179,61.199999999999996
505,68,0.288284,68
506,73.1,0.026101,73.1
507,79.7,0.106269,79.7
508,79.7,0.106269,79.7
509,73.1,0.026101,73.1
510,68.05,0.122124,68.05
511,71.9,0.094695,71.9
512,68.6,0.113228,68.6
513,60.8,0.005872,60.8
514,"65.0763157894737, 73.2",0.19699,69.13815789473685
515,"77.8, 72, 71.7, 79.3",0.0937413043478261,75.2
516,"71.9, 51.56, 61.4, 66.53",0.190045333333333,62.847500000000004
517,79.7,0.106269,79.7
518,68.6,0.113228,68.6
519,60.8,0.005872,60.8
520,83,-0.042243,83
521,61.4,0.11136,61.4
522,60.8,0.005872,60.8
523,"79.3, 72, 77.2, 54",0.0792217391304348,70.625
524,73.2,0.20085,73.2
525,"73.4, 61.1",-0.036183,67.25
526,77.7,0.158627,77.7
527,72,-0.032063,72
528,61.4,0.11136,61.4
529,68.6,0.113228,68.6
530,48.45,0.038279,48.45
531,"77.5, 51.3, 73.2, 78.5",0.159060344827586,70.125
532,"68, 73.2, 79.3, 75.6, 76, 67.7, 51.3, 65.3",0.0521828947368421,69.55
533,"71.9, 72",0.260632,71.95
534,68.6,0.113228,68.6
535,71.9,0.094695,71.9
536,"65.3, 79.7, 72, 75.6",0.188122857142857,73.15
537,"40.51, 61.11",0.0897323943661972,50.81
538,65.0763157894737,0.01022,65.0763157894737
539,"77.2, 61.4, 51.56",-0.034793,63.38666666666667
540,"68.3, 79.7",-0.006915,74
541,67.1,-0.043252,67.1
542,72.84,0.036889,72.84
543,68.6,0.113228,68.6
544,77.2,0.049439,77.2
545,72.84,0.036889,72.84
546,"73.2, 76, 77.2, 57.6, 60.8",0.0715178571428571,68.96000000000001
547,48.45,0.038279,48.45
548,60.8,0.005872,60.8
549,57.6,0.04147,57.6
550,66.0842105263158,0.240416,66.0842105263158
551,79.7,0.106269,79.7
552,73.1,0.026101,73.1
553,40.51,0.211499,40.51
554,68,0.288284,68
555,60.8,0.005872,60.8
556,60.8,0.005872,60.8
557,"79.7, 70.2",0.230966,74.95
558,60.8,0.005872,60.8
559,"65.4, 61.4",0.204768,63.400000000000006
560,"70.2, 71.9, 68.3",0.170452,70.13333333333334
561,60.8,0.005872,60.8
562,79.7,0.106269,79.7
563,77.2,0.049439,77.2
564,69.1,0.009625,69.1
565,"71.9, 65.4",0.114351,68.65
566,77.2,0.049439,77.2
567,66.53,-0.12034347826087,66.53
568,"76, 77.5, 77.8, 65.3, 68",0.0916851063829787,72.92
569,62.8125,0.060666,62.8125
570,40.51,0.211499,40.51
571,65.0763157894737,0.01022,65.0763157894737
572,60.8,0.005872,60.8
573,60.8,0.005872,60.8
574,60.8,0.005872,60.8
575,"71, 77.2",0.082305,74.1
576,69.1,0.009625,69.1
577,68,0.288284,68
578,63.8,0.08694,63.8
579,60.8,0.005872,60.8
580,60.8,0.005872,60.8
581,60.8,0.005872,60.8
582,55.56,0.193682,55.56
583,79.7,0.106269,79.7
584,71,0.072533,71
585,64.12,0.155578,64.12
586,60.8,0.005872,60.8
587,60.8,0.005872,60.8
588,"65.4, 70.2, 70.4",0.243403846153846,68.66666666666667
589,61.4,0.11136,61.4
590,77.2,0.049439,77.2
591,77.8,-0.204998,77.8
592,68.6,0.113228,68.6
593,"77.2, 34.44",0.036143,55.82
594,68,0.288284,68
595,73.1,0.026101,73.1
596,60.8,0.005872,60.8
597,66.0842105263158,0.240416,66.0842105263158
598,79.7,0.106269,79.7
599,67.1,-0.043252,67.1
600,73.1,0.026101,73.1
601,73.1,0.026101,73.1
602,77.8,-0.204998,77.8
603,68,0.288284,68
604,68.6,0.113228,68.6
605,79.7,0.106269,79.7
606,"72.4, 68",0.015493,70.2
607,77.2,0.049439,77.2
608,60.8,0.005872,60.8
609,73.1,0.035542,73.1
610,68,0.288284,68
611,71.9,0.094695,71.9
612,"79.7, 61.4",0.250447,70.55
613,79.7,0.106269,79.7
614,"63.3, 68.1",0.00225899999999999,65.69999999999999
615,"70.4, 73.2",0.260154,71.80000000000001
616,"73.2, 72.5",0.053339,72.85
617,73.1,0.026101,73.1
618,79.7,0.106269,79.7
619,"77.8, 57.6",0.068471,67.7
620,"77.7, 72, 57.7, 71.9, 70.2",0.17581746031746,69.9
621,"59, 68, 73.4",0.0603118421052632,66.8
622,72.4,0.120209,72.4
623,65.0763157894737,0.01022,65.0763157894737
624,65.0763157894737,0.01022,65.0763157894737
625,"79.7, 71.9",0.172844,75.80000000000001
626,68,0.288284,68
627,48.45,0.038279,48.45
628,61.4,0.11136,61.4
629,"73.2, 75.6, 71.9",0.326433333333333,73.56666666666666
630,61.4,0.11136,61.4
631,69.1,0.009625,69.1
632,68.6,0.113228,68.6
633,65.3,0.055561,65.3
634,71.9,0.094695,71.9
635,"73.2, 72, 77.2, 71.7, 77.5, 67.7",0.0517530303030303,73.21666666666667
636,40.51,0.211499,40.51
637,60.8,0.005872,60.8
638,68.3,0.15162,68.3
639,"66.0842105263158, 77.2",0.189567,71.6421052631579
640,68.05,0.122124,68.05
641,"61.11, 40.51",0.0994430379746835,50.81
642,68,0.288284,68
643,65.0763157894737,0.01022,65.0763157894737
644,68.6,0.113228,68.6
645,61.4,0.11136,61.4
646,"71.9, 79.7",0.166474,75.80000000000001
647,69.1,0.009625,69.1
648,"65.3, 77.8, 72",0.050802,71.7
649,73.1,0.026101,73.1
650,68,0.288284,68
651,79.7,0.106269,79.7
652,"77.8, 65.3, 65",0.111212,69.36666666666666
653,72,-0.032063,72
654,68.6,0.113228,68.6
655,79.7,0.106269,79.7
656,"65.0763157894737, 68",0.027588,66.53815789473686
657,68,0.288284,68
658,68.6,0.113228,68.6
659,60.8,0.005872,60.8
660,68.6,0.113228,68.6
661,65.0763157894737,0.01022,65.0763157894737
662,73.1,0.026101,73.1
663,68.3,-0.108925,68.3
664,68.6,0.113228,68.6
665,"79.7, 83",0.21883,81.35
666,68.6,0.113228,68.6
667,61.4,0.11136,61.4
668,73.1,0.026101,73.1
669,65.3,0.055561,65.3
670,40.51,0.211499,40.51
671,"66.0842105263158, 79.7",0.280402,72.8921052631579
672,"51.3, 73.2",0.177921,62.25
673,79.7,0.106269,79.7
674,69.1,0.009625,69.1
675,"77.8, 65.3",-0.066649,71.55
676,62.8125,0.060666,62.8125
677,"67.1, 79.7",-0.020754,73.4
678,48.45,0.038279,48.45
679,63.8,0.08694,63.8
680,51.3,0.08469,51.3
681,66.0842105263158,0.240416,66.0842105263158
682,65.0763157894737,0.01022,65.0763157894737
683,65.0763157894737,0.01022,65.0763157894737
684,59,0.038123,59
685,73.1,0.026101,73.1
686,63.3,0.140455,63.3
687,61.4,0.11136,61.4
688,73.1,0.026101,73.1
689,61.4,0.11136,61.4
690,66.53,-0.12034347826087,66.53
691,61.4,0.11136,61.4
692,68,0.288284,68
693,68.6,0.113228,68.6
694,63.8,0.08694,63.8
695,"65.4, 71.9",0.121789,68.65
696,"71.9, 60.8, 65.0763157894737",0.165457142857143,65.92543859649123
697,65.4,0.023996,65.4
698,60.8,0.005872,60.8
699,71.9,0.094695,71.9
700,"79.7, 83",0.21883,81.35
701,63.8,0.08694,63.8
702,73.1,0.026101,73.1
703,"71, 77.2",0.082305,74.1
704,48.45,0.038279,48.45
705,68.3,-0.108925,68.3
706,68.6,0.113228,68.6
707,60.8,0.005872,60.8
708,48.45,0.038279,48.45
709,73.1,0.026101,73.1
710,79.7,0.106269,79.7
711,69.1,0.009625,69.1
712,"72.84, 69.1",-0.0288507692307692,70.97
713,"75.6, 71.7",0.128905154639175,73.65
714,63.8,0.08694,63.8
715,79.7,0.106269,79.7
716,"61.4, 77.2",0.158716,69.3
717,73.1,0.026101,73.1
718,65.0763157894737,0.01022,65.0763157894737
719,65.4,0.023996,65.4
720,63.8,0.08694,63.8
721,66.0842105263158,0.240416,66.0842105263158
722,65.0763157894737,0.01022,65.0763157894737
723,68,0.288284,68
724,73.1,0.026101,73.1
725,79.7,0.106269,79.7
726,"73.1, 57.6, 71.1",-0.0260307692307692,67.26666666666667
727,79.7,0.106269,79.7
728,"71.7, 73.2, 75.6, 79.3, 77.8, 65.3",0.0536611111111111,73.81666666666666
729,60.8,0.005872,60.8
730,"68, 39.52, 58.4",0.0299346153846154,55.306666666666665
731,77.2,0.049439,77.2
732,"71.7, 69.1, 68",0.353972,69.6
733,68.6,0.113228,68.6
734,60.8,0.005872,60.8
735,68.6,0.113228,68.6
736,68.6,0.113228,68.6
737,64.12,0.197647,64.12
738,60.8,0.005872,60.8
739,64.0191489361702,0.080324,64.0191489361702
740,61.4,0.11136,61.4
741,60.8,0.005872,60.8
742,"62.8125, 72.4, 68, 63.8",-0.00792584269662921,66.753125
743,77.7,0.158627,77.7
744,67.1,-0.043252,67.1
745,"70.2, 71.9",0.094055,71.05000000000001
746,79.7,0.106269,79.7
747,73.1,0.026101,73.1
748,73.1,0.026101,73.1
749,"61.4, 51.56",-0.042744,56.480000000000004
750,65.0763157894737,0.01022,65.0763157894737
751,83,-0.042243,83
752,73.1,0.026101,73.1
753,61.4,0.11136,61.4
754,60.8,0.005872,60.8
755,68.3,-0.108925,68.3
